Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.8764575,0.7288581,0.08568993738876071,0.024900808863145718,0.29059198339911224
2,0.8836967,0.74849254,0.14114907260057605,0.028423046969535994,0.20136899552976584
3,0.84389645,0.69466484,0.17829008242107375,0.052072147086608025,0.2920641820313228
4,0.9137842,0.764981,0.1772488428036187,0.1360645629874654,0.767647115971397
5,0.9213849,0.7768193,0.16270916071695982,0.1235596218953876,0.7593894612382971
6,0.8804631,0.72461784,0.09373853916513852,0.044221172969224884,0.47175018261507956
7,0.8868976,0.7316302,0.08131533585226658,0.024278566711587846,0.29857303615762054
8,0.89063543,0.76039857,0.0963445587369137,0.07055936818403764,0.7323648487167065
9,0.906764,0.76198554,0.1012339096741284,0.0482020884225296,0.47614567665806795
10,0.8898872,0.7509492,0.07834746279090649,0.06699077257306552,0.8550471219706287
11,0.87921214,0.711028,0.12245367625571683,0.0918555465006509,0.7501248578999895
12,0.8324751,0.70631784,0.07128812784340134,0.020351363848586344,0.28548040836886884
13,0.8939123,0.7450335,0.08801123386690263,0.037086284138267575,0.4213812545152169
14,0.92557305,0.7712629,0.1725738464404851,0.07654181784427752,0.44353080969701986
15,0.90825605,0.76927924,0.08144780055929585,0.04199091347262489,0.5155561376031824
16,0.8290493,0.69643307,0.11495071566589764,0.02195814559262741,0.19102226084827867
17,0.89957523,0.7635611,0.11187131171512318,0.018876348191782816,0.16873269743945482
18,0.87990505,0.73281735,0.1126464980544091,0.024562938628406857,0.21805328219384837
19,0.90696883,0.74208343,0.14551529352428144,0.04030952936551665,0.2770123221363697
20,0.8929015,0.7589113,0.14792712137535824,0.014990232264753801,0.10133525296363187
